"Notes","County","County.Code","Deaths","Population","Crude.Rate"
"","Autauga County, AL",1001,"107","5851","1828.7"
"","Baldwin County, AL",1003,"462","27650","1670.9"
"","Barbour County, AL",1005,"73","3755","1944.1"
"","Bibb County, AL",1007,"57","2779","2051.1"
"","Blount County, AL",1009,"155","7882","1966.5"
"","Bullock County, AL",1011,"39","1472","2649.5"
"","Butler County, AL",1013,"65","3406","1908.4"
"","Calhoun County, AL",1015,"341","16222","2102.1"
"","Chambers County, AL",1017,"121","5574","2170.8"
"","Cherokee County, AL",1019,"64","4386","1459.2"
"","Chilton County, AL",1021,"80","5621","1423.2"
"","Choctaw County, AL",1023,"54","2452","2202.3"
"","Clarke County, AL",1025,"76","3923","1937.3"
"","Clay County, AL",1027,"57","2422","2353.4"
"","Cleburne County, AL",1029,"37","2236","1654.7"
"","Coffee County, AL",1031,"132","6968","1894.4"
"","Colbert County, AL",1033,"157","9220","1702.8"
"","Conecuh County, AL",1035,"44","2271","1937.5"
"","Coosa County, AL",1037,"32","1867","1714.0"
"","Covington County, AL",1039,"134","6715","1995.5"
"","Crenshaw County, AL",1041,"40","2253","1775.4"
"","Cullman County, AL",1043,"257","12120","2120.5"
"","Dale County, AL",1045,"114","6668","1709.7"
"","Dallas County, AL",1047,"155","5980","2592.0"
"","DeKalb County, AL",1049,"210","9524","2205.0"
"","Elmore County, AL",1051,"173","8677","1993.8"
"","Escambia County, AL",1053,"95","5469","1737.1"
"","Etowah County, AL",1055,"360","16138","2230.8"
"","Fayette County, AL",1057,"56","3052","1834.9"
"","Franklin County, AL",1059,"126","4732","2662.7"
"","Geneva County, AL",1061,"80","4507","1775.0"
"","Greene County, AL",1063,"42","1460","2876.7"
"","Hale County, AL",1065,"40","2315","1727.9"
"","Henry County, AL",1067,"62","2904","2135.0"
"","Houston County, AL",1069,"238","13259","1795.0"
"","Jackson County, AL",1071,"176","8225","2139.8"
"","Jefferson County, AL",1073,"1688","84725","1992.3"
"","Lamar County, AL",1075,"58","2687","2158.5"
"","Lauderdale County, AL",1077,"233","14696","1585.5"
